run_id,job_id,date,workflow,job_name,attributed_check,branch
30767893977,91549785355,2026-08-02,CI,cpu matrix (riscv64 across QEMU CPU models),cpu matrix: model(s) rva22s64,fix/thread-leak-police
30769055253,91552877252,2026-08-02,CI,cpu matrix (riscv64 across QEMU CPU models),cpu matrix: model(s) thead-c906,docs/smp-placement-correction
30769774512,91554733299,2026-08-02,CI,cpu matrix (riscv64 across QEMU CPU models),cpu matrix: model(s) sifive-u54 rva23s64,main
30770145799,91555787435,2026-08-02,CI,cpu matrix (riscv64 across QEMU CPU models),cpu matrix: model(s) thead-c906,feature/42-fuzzing
30770174138,91555879692,2026-08-02,CI,cpu matrix (riscv64 across QEMU CPU models),cpu matrix: model(s) rva22s64,fix/smp-probe-placement
30770186603,91555923108,2026-08-02,CI,cpu matrix (riscv64 across QEMU CPU models),cpu matrix: model(s) rva22s64,ci/scope-cpu-matrix
30771712548,91559876263,2026-08-02,CI,cpu matrix (riscv64 across QEMU CPU models),cpu matrix: model(s) sifive-u54 rva22s64,main
30771741860,91559953684,2026-08-02,CI,cpu matrix (riscv64 across QEMU CPU models),cpu matrix: model(s) sifive-u54 rva22s64,main
30771858954,91560250887,2026-08-02,CI,cpu matrix (riscv64 across QEMU CPU models),cpu matrix: model(s) rva23s64,main
30771924702,91560450561,2026-08-02,CI,cpu matrix (riscv64 across QEMU CPU models),cpu matrix: model(s) sifive-u54,milestone/50-append
30771924799,91560447019,2026-08-02,CI,cpu matrix (riscv64 across QEMU CPU models),cpu matrix: model(s) rv64,fix/user-entry-zero-pc-diagnostic
30806458795,91662858754,2026-08-03,CI,cpu matrix (riscv64 across QEMU CPU models),cpu matrix: model(s) rv64,main
30807190381,91665184974,2026-08-03,CI,cpu matrix (riscv64 across QEMU CPU models),cpu matrix: model(s) thead-c906,main
30807216186,91665268265,2026-08-03,CI,cpu matrix (riscv64 across QEMU CPU models),cpu matrix: model(s) thead-c906,main
30810352594,91675375379,2026-08-03,CI,cpu matrix (riscv64 across QEMU CPU models),cpu matrix: model(s) sifive-u54 rva22s64 rva23s64 thead-c906,milestone/60-isa-discovery
30811056305,91677631978,2026-08-03,CI,cpu matrix (riscv64 across QEMU CPU models),cpu matrix: model(s) sifive-u54 rva22s64 rva23s64 thead-c906,milestone/60-isa-discovery
30811396137,91678734891,2026-08-03,CI,cpu matrix (riscv64 across QEMU CPU models),cpu matrix: model(s) sifive-u54,milestone/57-real-drive
30812014044,91680760881,2026-08-03,CI,cpu matrix (riscv64 across QEMU CPU models),cpu matrix: model(s) rv64,main
30839122520,91771563890,2026-08-03,CI,cpu matrix (riscv64 across QEMU CPU models),cpu matrix: model(s) rva22s64,fix/redoxfs-update-hash-public
30843002266,91784404497,2026-08-03,CI,cpu matrix (riscv64 across QEMU CPU models),cpu matrix: model(s) sifive-u54 rva22s64 rva23s64 thead-c906,milestone/60-isa-discovery
30844284393,91788636267,2026-08-03,CI,cpu matrix (riscv64 across QEMU CPU models),cpu matrix: model(s) sifive-u54 rva22s64 rva23s64 thead-c906,milestone/60-isa-discovery
30846769978,91796883828,2026-08-03,CI,cpu matrix (riscv64 across QEMU CPU models),cpu matrix: model(s) rv64,main
30847962463,91800788518,2026-08-03,CI,cpu matrix (riscv64 across QEMU CPU models),cpu matrix: model(s) sifive-u54 rva22s64 rva23s64 thead-c906,main
30848460856,91802406840,2026-08-03,CI,cpu matrix (riscv64 across QEMU CPU models),cpu matrix: model(s) sifive-u54 rva22s64 rva23s64 thead-c906,main
30848790887,91806217669,2026-08-03,CI,cpu matrix (riscv64 across QEMU CPU models),cpu matrix: model(s) sifive-u54 rva22s64 rva23s64 thead-c906,ci/verify-scope-closure
30850269355,91808352061,2026-08-03,CI,cpu matrix (riscv64 across QEMU CPU models),cpu matrix: model(s) sifive-u54 rva22s64 rva23s64 thead-c906,ci/verify-scope-closure
30851594234,91812656429,2026-08-03,CI,cpu matrix (riscv64 across QEMU CPU models),cpu matrix: model(s) sifive-u54 rva22s64 rva23s64 thead-c906,verify/parallel-jobs
30851748969,91813154786,2026-08-03,CI,cpu matrix (riscv64 across QEMU CPU models),cpu matrix: model(s) sifive-u54 rva22s64 rva23s64 thead-c906,fix/milestone-78-load-sensitive-assertions
30852299581,91814954645,2026-08-03,CI,cpu matrix (riscv64 across QEMU CPU models),cpu matrix: model(s) sifive-u54 rva22s64 rva23s64 thead-c906,verify/parallel-jobs
30852319375,91815017607,2026-08-03,CI,cpu matrix (riscv64 across QEMU CPU models),cpu matrix: model(s) sifive-u54 rva22s64 rva23s64 thead-c906,fix/milestone-78-load-sensitive-assertions
30852685785,91816257187,2026-08-03,CI,cpu matrix (riscv64 across QEMU CPU models),cpu matrix: model(s) sifive-u54 rva22s64 rva23s64 thead-c906,fix/milestone-78-load-sensitive-assertions
30852716626,91816364740,2026-08-03,CI,cpu matrix (riscv64 across QEMU CPU models),cpu matrix: model(s) sifive-u54 rva22s64 rva23s64 thead-c906,ci/verify-scope-closure
30852745799,91816527953,2026-08-03,verify,verify (Kani proofs),"==> kani: glob (matching is total, and a hostile pattern cannot be made to blow up)",verify/parallel-jobs
30852745835,91816459109,2026-08-03,CI,cpu matrix (riscv64 across QEMU CPU models),cpu matrix: model(s) sifive-u54 rva22s64 rva23s64 thead-c906,verify/parallel-jobs
30853157895,91817831779,2026-08-03,CI,cpu matrix (riscv64 across QEMU CPU models),cpu matrix: model(s) sifive-u54 rva22s64 rva23s64 thead-c906,roadmap/milestone-76-split
30857912190,91833137793,2026-08-03,verify,verify (Kani proofs),"==> kani: glob (matching is total, and a hostile pattern cannot be made to blow up)",ci/verify-scope-closure
30864854785,91860072378,2026-08-04,verify,verify (Kani proofs),"==> kani: glob (matching is total, and a hostile pattern cannot be made to blow up)",ci/verify-scope-closure
30867474931,91862353734,2026-08-04,verify,verify (Kani proofs),"==> kani: glob (matching is total, and a hostile pattern cannot be made to blow up)",ci/verify-scope-closure
30880764397,91901512555,2026-08-04,CI,cpu matrix (riscv64 across QEMU CPU models),cpu matrix: model(s) rva22s64,main
30929445054,92060093758,2026-08-04,CI,cpu matrix (riscv64 across QEMU CPU models),cpu matrix: model(s) rv64,milestone/96-one-init
30930230993,92062742887,2026-08-04,CI,cpu matrix (riscv64 across QEMU CPU models),cpu matrix: model(s) rva22s64,milestone/81-hvf-leg
30930406230,92063341625,2026-08-04,CI,cpu matrix (riscv64 across QEMU CPU models),cpu matrix: model(s) rva22s64,milestone/86-time-command
30936798549,92084870594,2026-08-04,CI,clippy,==> roadmap status,feature/roadmap-readiness
30939612869,92103200538,2026-08-04,CI,cpu matrix (riscv64 across QEMU CPU models),cpu matrix: model(s) sifive-u54,milestone/100-psci-and-cpu-discovery
30939784837,92094944287,2026-08-04,CI,clippy,==> roadmap status,feature/roadmap-readiness
30942199567,92103168803,2026-08-04,CI,cpu matrix (riscv64 across QEMU CPU models),cpu matrix: model(s) rva23s64 thead-c906,main
30942366482,92103724171,2026-08-04,CI,cpu matrix (riscv64 across QEMU CPU models),cpu matrix: model(s) rv64 rva23s64,milestone/109-xargs-at-the-grant-bound
30944619862,92111384360,2026-08-04,CI,clippy,==> roadmap status,main
30947128390,92119767939,2026-08-04,CI,clippy,==> roadmap status,main
30947128390,92119768004,2026-08-04,CI,cpu matrix (riscv64 across QEMU CPU models),cpu matrix: model(s) rva23s64,main
30947181598,92119947116,2026-08-04,CI,cpu matrix (riscv64 across QEMU CPU models),cpu matrix: model(s) rv64,main
30947181598,92119947194,2026-08-04,CI,clippy,==> roadmap status,main
30960427051,92162930887,2026-08-04,CI,clippy,==> naming conventions,main
30960699480,92163768710,2026-08-04,CI,clippy,==> naming conventions,milestone/43-second-security-audit
30961442336,92166032944,2026-08-04,CI,clippy,==> naming conventions,milestone/67-swish-language
30961504013,92166218055,2026-08-04,CI,clippy,==> naming conventions,milestone/116-one-sided-fences
30962241227,92168458654,2026-08-05,CI,clippy,==> naming conventions,milestone/40-documentation-service
30962572711,92169469190,2026-08-05,CI,cpu matrix (riscv64 across QEMU CPU models),cpu matrix: model(s) sifive-u54,main
30964298475,92174792530,2026-08-05,CI,clippy,==> naming conventions,milestone/40-documentation-service
30973572328,92202856635,2026-08-05,CI,clippy,==> clippy: kernel + user + user_rt (aarch64),milestone/50-pipeline-draining
30973572328,92202856713,2026-08-05,CI,cpu matrix (riscv64 across QEMU CPU models),cpu matrix: model(s) rv64 sifive-u54 rva22s64 rva23s64 thead-c906,milestone/50-pipeline-draining
30976857655,92212551130,2026-08-05,CI,cpu matrix (riscv64 across QEMU CPU models),cpu matrix: model(s) rva22s64,integration/maintainer-daemons
30976857655,92212551252,2026-08-05,CI,clippy,==> em-dashes,integration/maintainer-daemons
30976913487,92212723253,2026-08-05,CI,clippy,==> citations,decisions/one-build-threshold
30977165664,92213483498,2026-08-05,CI,clippy,==> citations,decisions/one-build-threshold
30977567510,92214733948,2026-08-05,CI,clippy,==> citations,decisions/one-build-threshold
30978622331,92218049765,2026-08-05,CI,clippy,==> naming conventions,milestone/80-loom
31015632232,92338822846,2026-08-05,CI,clippy,==> every fence names its counterpart,milestone/116-fence-inventory
31015688898,92339015843,2026-08-05,CI,cpu matrix (riscv64 across QEMU CPU models),cpu matrix: model(s) rv64,integration/maintainer-daemons
31412473231,93533572651,2026-08-10,CI,cpu matrix (riscv64 across QEMU CPU models),cpu matrix: model(s) rv64 sifive-u54 rva22s64 rva23s64 thead-c906,dependabot/cargo/md4-0.11.0
31412473231,93533572814,2026-08-10,CI,"supply chain (advisories, licences, vendored integrity)",==> cargo-deny: Cargo.toml,dependabot/cargo/md4-0.11.0
31412473231,93533572823,2026-08-10,CI,bench (icount regression tripwire),"unattributable: not the tripwire (generic step failure, no distinguishing signal): ##[error]Process completed with exit code 1.",dependabot/cargo/md4-0.11.0
31412473231,93533572830,2026-08-10,CI,clippy,==> clippy: host crates + xtask,dependabot/cargo/md4-0.11.0
31412480964,93533597748,2026-08-10,CI,bench (icount regression tripwire),"unattributable: not the tripwire (generic step failure, no distinguishing signal): ##[error]Process completed with exit code 1.",dependabot/cargo/md-5-0.11.0
31412480964,93533597759,2026-08-10,CI,clippy,==> clippy: host crates + xtask,dependabot/cargo/md-5-0.11.0
31412480964,93533597803,2026-08-10,CI,"supply chain (advisories, licences, vendored integrity)",==> cargo-deny: Cargo.toml,dependabot/cargo/md-5-0.11.0
31412480964,93533597835,2026-08-10,CI,cpu matrix (riscv64 across QEMU CPU models),cpu matrix: model(s) rv64 sifive-u54 rva22s64 rva23s64 thead-c906,dependabot/cargo/md-5-0.11.0
31412497218,93533649927,2026-08-10,CI,clippy,==> clippy: host crates + xtask,dependabot/cargo/hmac-0.13.0
31412497218,93533649931,2026-08-10,CI,"supply chain (advisories, licences, vendored integrity)",==> cargo-deny: Cargo.toml,dependabot/cargo/hmac-0.13.0
31412497218,93533649978,2026-08-10,CI,cpu matrix (riscv64 across QEMU CPU models),cpu matrix: model(s) rv64 sifive-u54 rva22s64 rva23s64 thead-c906,dependabot/cargo/hmac-0.13.0
31412497218,93533650029,2026-08-10,CI,bench (icount regression tripwire),"unattributable: not the tripwire (generic step failure, no distinguishing signal): ##[error]Process completed with exit code 1.",dependabot/cargo/hmac-0.13.0
31412510766,93533691451,2026-08-10,CI,bench (icount regression tripwire),"unattributable: not the tripwire (generic step failure, no distinguishing signal): ##[error]Process completed with exit code 1.",dependabot/cargo/digest-0.11.3
31412510766,93533691480,2026-08-10,CI,cpu matrix (riscv64 across QEMU CPU models),cpu matrix: model(s) rv64 sifive-u54 rva22s64 rva23s64 thead-c906,dependabot/cargo/digest-0.11.3
31412510766,93533691488,2026-08-10,CI,"supply chain (advisories, licences, vendored integrity)",==> cargo-deny: Cargo.toml,dependabot/cargo/digest-0.11.3
31412510766,93533691534,2026-08-10,CI,clippy,==> clippy: host crates + xtask,dependabot/cargo/digest-0.11.3
31712879837,94490107390,2026-08-13,CI,bench (icount regression tripwire),"unattributable: not the tripwire (generic step failure, no distinguishing signal): ##[error]Process completed with exit code 127.",milestone/104-measurement-past-init
31712879837,94490107426,2026-08-13,CI,cpu matrix (riscv64 across QEMU CPU models),==> QEMU 11.0.2 installed at /home/runner/.cache/cricker-qemu,milestone/104-measurement-past-init
31712881269,94490112766,2026-08-13,CI,bench (icount regression tripwire),"unattributable: not the tripwire (generic step failure, no distinguishing signal): ##[error]Process completed with exit code 127.",integration/maintainer-daemons
31712887334,94490134700,2026-08-13,CI,clippy,==> every fence names its counterpart,milestone/116-fence-inventory
31712887334,94490134702,2026-08-13,CI,cpu matrix (riscv64 across QEMU CPU models),==> QEMU 11.0.2 installed at /home/runner/.cache/cricker-qemu,milestone/116-fence-inventory
31713024914,94490608985,2026-08-13,CI,bench (icount regression tripwire),"unattributable: not the tripwire (generic step failure, no distinguishing signal): ##[error]Process completed with exit code 101.",milestone/40-documentation-service
31713024914,94490609009,2026-08-13,CI,clippy,==> clippy: host crates + xtask,milestone/40-documentation-service
31713024914,94490609124,2026-08-13,CI,cpu matrix (riscv64 across QEMU CPU models),cpu matrix: model(s) rv64 sifive-u54 rva22s64 rva23s64 thead-c906,milestone/40-documentation-service
31713169114,94491089201,2026-08-13,CI,bench (icount regression tripwire),"unattributable: not the tripwire (generic step failure, no distinguishing signal): ##[error]Process completed with exit code 127.",milestone/80-loom
31713169114,94491089273,2026-08-13,CI,cpu matrix (riscv64 across QEMU CPU models),==> QEMU 11.0.2 installed at /home/runner/.cache/cricker-qemu,milestone/80-loom
31713169114,94491089472,2026-08-13,CI,clippy,==> naming conventions,milestone/80-loom
31713326411,94491645546,2026-08-13,CI,cpu matrix (riscv64 across QEMU CPU models),==> QEMU 11.0.2 installed at /home/runner/.cache/cricker-qemu,toolchain/nightly-bump
31728781071,94543695835,2026-08-13,CI,clippy,==> em-dashes,roadmap/120-nife-and-the-organization
31729788238,94547062143,2026-08-13,CI,clippy,==> em-dashes,roadmap/120-nife-and-the-organization
31730245954,94548725919,2026-08-13,CI,clippy,==> spelling,roadmap/120-nife-and-the-organization
